Matrix,M,N,NZ,Mode,Threads,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
af23560,23560,23560,484256,ompCSR,34,0.139765,0.133281,0.116795,6.929577,7.266696,8.292413,1,5
af23560,23560,23560,484256,ompHLL,34,0.411059,0.385529,0.319736,2.356140,2.512161,3.029099,1,5
amazon0302,262111,262111,1234877,serial,1,3.021676,3.017191,3.014348,0.817346,0.818561,0.819333,1,5
amazon0302,262111,262111,1234877,ompCSR,34,0.395402,0.396821,0.373769,6.246185,6.223848,6.607702,1,5
amazon0302,262111,262111,1234877,ompHLL,34,0.885433,0.851854,0.714094,2.789318,2.899269,3.458584,1,5
bcsstk17,10974,10974,428650,serial,1,0.446605,0.443905,0.431713,1.919594,1.931267,1.985810,1,5
bcsstk17,10974,10974,428650,ompCSR,34,0.116419,0.122137,0.080033,7.363888,7.019169,10.711835,1,5
bcsstk17,10974,10974,428650,ompHLL,34,2.921355,2.999034,1.861260,0.293460,0.285859,0.460602,1,5
cage4,9,9,49,serial,1,0.000092,0.000086,0.000078,1.065250,1.132993,1.256438,1,5
cage4,9,9,49,ompCSR,34,0.019407,0.018314,0.017022,0.005050,0.005351,0.005757,1,5
cage4,9,9,49,ompHLL,34,0.016300,0.016274,0.015379,0.006012,0.006022,0.006372,1,5
cant,62451,62451,4007383,serial,1,4.693879,4.692870,4.686396,1.707493,1.707860,1.710220,1,5
cant,62451,62451,4007383,ompCSR,34,1.718844,1.752690,1.493421,4.662882,4.572837,5.366716,1,5
cant,62451,62451,4007383,ompHLL,34,3.619693,3.713903,3.234431,2.214211,2.158044,2.477952,1,5
cavity10,2597,2597,76367,serial,1,0.081315,0.080238,0.080076,1.878294,1.903524,1.907362,1,5
cavity10,2597,2597,76367,ompCSR,34,0.055323,0.054462,0.054175,2.760793,2.804390,2.819269,1,5
cavity10,2597,2597,76367,ompHLL,34,0.337282,0.319747,0.306215,0.452837,0.477672,0.498780,1,5
cop20k_A,121192,121192,2624331,serial,1,4.356310,4.353269,4.352433,1.204841,1.205683,1.205914,1,5
cop20k_A,121192,121192,2624331,ompCSR,34,1.118618,1.130536,0.959374,4.692094,4.642629,5.470924,1,5
cop20k_A,121192,121192,2624331,ompHLL,34,2.685649,2.701502,2.532358,1.954337,1.942868,2.072638,1,5
Cube_Coup_dt0,2164760,2164760,127206144,serial,1,153.655241,153.787135,153.052820,1.655735,1.654315,1.662252,1,5
Cube_Coup_dt0,2164760,2164760,127206144,ompCSR,34,67.680002,67.885226,62.136671,3.759047,3.747683,4.094398,1,5
Cube_Coup_dt0,2164760,2164760,127206144,ompHLL,34,84.733274,83.758259,77.695221,3.002507,3.037459,3.274491,1,5
dc1,116835,116835,766396,serial,1,0.889597,0.884812,0.878733,1.723018,1.732336,1.744321,1,5
dc1,116835,116835,766396,ompCSR,34,0.459139,0.460838,0.385514,3.338407,3.326094,3.975970,1,5
dc1,116835,116835,766396,ompHLL,34,181.286365,162.520561,159.271688,0.008455,0.009431,0.009624,1,5
FEM_3D_thermal1,17880,17880,430740,serial,1,0.412925,0.412294,0.397388,2.086284,2.089477,2.167856,1,5
FEM_3D_thermal1,17880,17880,430740,ompCSR,34,0.147600,0.150918,0.120954,5.836575,5.708267,7.122377,1,5
FEM_3D_thermal1,17880,17880,430740,ompHLL,34,0.376312,0.382130,0.352215,2.289272,2.254419,2.445892,1,5
lung2,109460,109460,492564,serial,1,0.526172,0.524538,0.521583,1.872255,1.878087,1.888727,1,5
lung2,109460,109460,492564,ompCSR,34,0.175255,0.167873,0.131051,5.621120,5.868310,7.517138,1,5
lung2,109460,109460,492564,ompHLL,34,0.394739,0.378921,0.274191,2.495642,2.599828,3.592854,1,5
mac_econ_fwd500,206500,206500,1273389,serial,1,1.507178,1.501464,1.500177,1.689766,1.696197,1.697652,1,5
mac_econ_fwd500,206500,206500,1273389,ompCSR,34,0.387527,0.360538,0.283872,6.571872,7.063826,8.971571,1,5
mac_econ_fwd500,206500,206500,1273389,ompHLL,34,5.084727,5.184963,4.656714,0.500868,0.491185,0.546905,1,5
mcfe,765,765,24382,serial,1,0.029550,0.029522,0.029513,1.650246,1.651785,1.652287,1,5
mcfe,765,765,24382,ompCSR,34,0.040407,0.040551,0.038041,1.206806,1.202521,1.281879,1,5
mcfe,765,765,24382,ompHLL,34,0.159698,0.150107,0.110021,0.305351,0.324863,0.443224,1,5
mhd4800a,4800,4800,102252,serial,1,0.103292,0.102032,0.101912,1.979868,2.004313,2.006671,1,5
mhd4800a,4800,4800,102252,ompCSR,34,0.069035,0.067972,0.066715,2.962323,3.008651,3.065335,1,5
mhd4800a,4800,4800,102252,ompHLL,34,0.294719,0.295598,0.288021,0.693894,0.691831,0.710032,1,5
mhda416,416,416,8562,serial,1,0.009453,0.009407,0.009400,1.811481,1.820437,1.821688,1,5
mhda416,416,416,8562,ompCSR,34,0.038392,0.036140,0.027284,0.446033,0.473830,0.627620,1,5
